dataset,class_key,support,recall,precision,f1
elpephants,1456,1.0,0.0,0.0,0.0
elpephants,1465,3.0,0.6666666666666666,1.0,0.8
elpephants,1469,3.0,0.0,0.0,0.0
elpephants,1505,1.0,0.0,0.0,0.0
elpephants,1536,1.0,0.0,0.0,0.0
elpephants,1548,1.0,0.0,0.0,0.0
elpephants,1566,1.0,1.0,1.0,1.0
elpephants,1570,1.0,0.0,0.0,0.0
elpephants,1576,2.0,0.0,0.0,0.0
elpephants,1577,1.0,0.0,0.0,0.0
elpephants,1578,2.0,0.0,0.0,0.0
elpephants,1595,1.0,0.0,0.0,0.0
elpephants,1609,1.0,1.0,1.0,1.0
elpephants,1613,4.0,0.5,1.0,0.6666666666666666
elpephants,1617,1.0,0.0,0.0,0.0
elpephants,1638,2.0,1.0,0.5,0.6666666666666666
elpephants,1655,1.0,0.0,0.0,0.0
elpephants,1658,1.0,0.0,0.0,0.0
elpephants,1659,1.0,1.0,1.0,1.0
elpephants,1673,3.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
elpephants,1674,1.0,0.0,0.0,0.0
elpephants,1732,2.0,0.0,0.0,0.0
elpephants,1772,2.0,0.0,0.0,0.0
elpephants,1775,2.0,0.5,0.5,0.5
elpephants,1797,1.0,0.0,0.0,0.0
elpephants,1799,1.0,0.0,0.0,0.0
elpephants,1867,5.0,0.4,0.25,0.3076923076923077
elpephants,1868,2.0,0.0,0.0,0.0
elpephants,1876,1.0,0.0,0.0,0.0
elpephants,1888,2.0,0.0,0.0,0.0
elpephants,1890,4.0,0.0,0.0,0.0
elpephants,1909,2.0,0.0,0.0,0.0
elpephants,1945,3.0,0.3333333333333333,0.5,0.4
elpephants,1975,1.0,0.0,0.0,0.0
elpephants,1990,1.0,0.0,0.0,0.0
elpephants,1994,1.0,0.0,0.0,0.0
elpephants,1997,3.0,0.0,0.0,0.0
elpephants,2022,1.0,0.0,0.0,0.0
elpephants,2036,1.0,1.0,0.3333333333333333,0.5
elpephants,2038,1.0,0.0,0.0,0.0
elpephants,2073,1.0,0.0,0.0,0.0
elpephants,2090,1.0,0.0,0.0,0.0
elpephants,2091,1.0,0.0,0.0,0.0
elpephants,2122,2.0,0.0,0.0,0.0
elpephants,2125,2.0,0.0,0.0,0.0
elpephants,2164,3.0,0.0,0.0,0.0
elpephants,2241,3.0,0.0,0.0,0.0
elpephants,2246,2.0,0.5,1.0,0.6666666666666666
elpephants,2276,1.0,0.0,0.0,0.0
elpephants,2281,3.0,0.0,0.0,0.0
elpephants,2297,1.0,0.0,0.0,0.0
elpephants,2350,2.0,0.0,0.0,0.0
elpephants,2353,4.0,0.0,0.0,0.0
elpephants,2367,2.0,0.0,0.0,0.0
elpephants,2380,2.0,0.0,0.0,0.0
elpephants,2408,1.0,0.0,0.0,0.0
elpephants,2438,1.0,0.0,0.0,0.0
elpephants,2477,1.0,0.0,0.0,0.0
elpephants,2498,1.0,1.0,0.3333333333333333,0.5
elpephants,2559,2.0,0.0,0.0,0.0
elpephants,2560,1.0,0.0,0.0,0.0
elpephants,2577,1.0,0.0,0.0,0.0
elpephants,2578,2.0,0.5,0.16666666666666666,0.25
elpephants,2585,2.0,0.5,1.0,0.6666666666666666
elpephants,2602,5.0,0.2,0.3333333333333333,0.25
elpephants,2651,1.0,0.0,0.0,0.0
elpephants,2655,5.0,0.4,0.3333333333333333,0.36363636363636365
elpephants,2670,2.0,0.5,0.5,0.5
elpephants,2671,2.0,0.5,0.25,0.3333333333333333
elpephants,2674,1.0,0.0,0.0,0.0
elpephants,2675,2.0,0.5,1.0,0.6666666666666666
elpephants,2681,4.0,0.25,0.25,0.25
elpephants,2723,1.0,0.0,0.0,0.0
elpephants,2733,1.0,1.0,1.0,1.0
elpephants,2764,2.0,0.0,0.0,0.0
elpephants,2779,3.0,0.3333333333333333,0.5,0.4
elpephants,2791,1.0,1.0,0.5,0.6666666666666666
elpephants,2792,1.0,0.0,0.0,0.0
elpephants,2841,1.0,0.0,0.0,0.0
elpephants,2844,1.0,1.0,0.5,0.6666666666666666
elpephants,2944,2.0,0.5,0.25,0.3333333333333333
elpephants,2991,1.0,0.0,0.0,0.0
elpephants,2999,1.0,1.0,1.0,1.0
elpephants,3012,5.0,0.2,0.125,0.15384615384615385
elpephants,3045,3.0,0.0,0.0,0.0
elpephants,3055,1.0,0.0,0.0,0.0
elpephants,3061,4.0,0.75,1.0,0.8571428571428571
elpephants,3062,3.0,0.6666666666666666,0.2857142857142857,0.4
elpephants,3114,2.0,0.5,0.25,0.3333333333333333
elpephants,3134,4.0,0.25,0.16666666666666666,0.2
elpephants,3161,1.0,0.0,0.0,0.0
elpephants,3248,1.0,0.0,0.0,0.0
elpephants,3252,1.0,0.0,0.0,0.0
elpephants,3329,1.0,0.0,0.0,0.0
elpephants,3337,1.0,0.0,0.0,0.0
elpephants,3346,2.0,0.5,0.25,0.3333333333333333
elpephants,3366,1.0,0.0,0.0,0.0
elpephants,3372,1.0,0.0,0.0,0.0
elpephants,3384,1.0,0.0,0.0,0.0
elpephants,3387,2.0,0.5,0.5,0.5
elpephants,3409,1.0,0.0,0.0,0.0
elpephants,3410,2.0,1.0,0.5,0.6666666666666666
elpephants,3412,4.0,0.25,0.14285714285714285,0.18181818181818182
elpephants,3414,1.0,0.0,0.0,0.0
elpephants,3423,1.0,0.0,0.0,0.0
elpephants,3427,2.0,0.5,0.25,0.3333333333333333
elpephants,3428,2.0,0.0,0.0,0.0
elpephants,3436,2.0,0.5,0.5,0.5
elpephants,3439,1.0,0.0,0.0,0.0
